eval/episode_reward,eval/episode_reward/agent1__cap1___dist,eval/episode_reward/cap1___goal,eval/episode_score,eval/episode_score/agent1__cap1___dist,eval/episode_score/cap1___goal,eval/total_episodes,losses/entropy_loss,losses/policy_loss,losses/total_loss,losses/value_loss,num_steps,speed/eval_sps,speed/eval_walltime,speed/sps,speed/timestamp,speed/training_walltime
-1437.9895,532.1883,-1970.1783,-11360.465,-4429.0547,-6931.418,129.0,-0.049698777,-1.2624168,749.52594,750.838,1474560,78399.30466314948,18.435322999954224,53770.484,27.427436590194702,27.427436590194702
-1093.6489,832.6318,-1926.282,-11016.129,-4128.606,-6887.524,129.0,-0.04449142,-0.5167862,661.8229,662.38416,2949120,78913.21574739818,20.05734872817993,773500.06,29.338329553604126,29.338329553604126
-207.39532,1655.2261,-1862.6221,-9978.392,-3230.271,-6748.115,131.0,-0.039535515,-0.46111798,566.02344,566.5241,4423680,78937.84862490874,21.67886972427368,787595.4,31.21477460861206,31.21477460861206
499.0439,2393.193,-1894.1514,-9500.961,-2606.8074,-6894.1533,128.0,-0.03195032,-0.40046948,436.41748,436.84988,5898240,78924.2017587717,23.300670623779297,786860.0,33.092100381851196,33.092100381851196
905.0107,2700.8057,-1795.7944,-9017.476,-2260.4333,-6757.0327,129.0,-0.021769108,-0.34105462,440.79404,441.15686,7372800,78744.8184964865,24.926166534423828,776719.5,34.99800157546997,34.99800157546997
975.5474,2527.088,-1551.5416,-8436.22,-2178.795,-6257.4224,136.0,-0.013358851,-0.32083926,455.29535,455.62958,8847360,78741.46919976937,26.55172872543335,790020.8,36.869386196136475,36.869386196136475
1116.3905,2581.2065,-1464.8186,-8226.673,-2090.324,-6136.3516,137.0,-0.0040562414,-0.26192337,488.31763,488.58362,10321920,78966.6315913646,28.17265820503235,790612.4,38.73997688293457,38.73997688293457
1203.9696,2484.886,-1280.9144,-7684.9194,-1959.5591,-5725.358,144.0,0.0044636317,-0.26104736,584.70215,584.95874,11796480,78704.114986653,29.798994541168213,782790.94,40.6295063495636,40.6295063495636
1023.1924,2104.2954,-1081.1033,-7288.5044,-2051.5486,-5236.9473,154.0,0.011179761,-0.21405578,620.53156,620.7344,13271040,79173.7336014188,31.415681838989258,787069.44,42.50791573524475,42.50791573524475
1297.9446,2275.9688,-978.02496,-7123.1084,-1934.557,-5188.5513,152.0,0.018073725,-0.1164994,763.1185,763.217,14745600,78769.17298450985,33.04066777229309,789081.06,44.38711953163147,44.38711953163147
1564.6519,2461.2664,-896.6134,-6912.1646,-1777.1455,-5135.022,151.0,0.025484178,-0.117495224,800.121,800.21295,16220160,78647.3435783067,34.6681764125824,789231.2,46.26161193847656,46.26161193847656
1679.9626,2461.9265,-781.9663,-6741.0933,-1748.5985,-4992.4956,152.0,0.031648852,-0.039076388,868.3868,868.39417,17694720,79042.0497336732,36.28755974769592,789300.2,48.134552001953125,48.134552001953125
1795.1116,2593.8042,-798.6938,-7032.472,-1819.9882,-5212.4844,145.0,0.037729528,-0.093280956,931.4313,931.4869,19169280,78875.7332101577,37.9103569984436,790465.2,50.003716230392456,50.003716230392456
1583.2654,2214.9448,-631.67957,-6518.001,-1835.6866,-4682.3154,158.0,0.042953044,0.023936676,974.3967,974.3297,20643840,78731.37683547242,39.536128997802734,414633.97,53.56883096694946,53.56883096694946
1925.3728,2558.546,-633.171,-6607.954,-1708.1213,-4899.8403,150.0,0.04914449,0.07054734,1011.44464,1011.32495,22118400,79092.56393858408,41.1544771194458,785336.75,55.45207381248474,55.45207381248474
2216.3252,2711.878,-495.5535,-6432.3247,-1612.4454,-4819.877,148.0,0.052616294,0.54568845,979.4033,978.80505,23592960,78896.72507211895,42.77682685852051,784154.2,57.337331771850586,57.337331771850586
2386.5693,2799.6167,-413.04532,-6441.0146,-1614.1768,-4826.8364,145.0,0.05673214,0.059284728,1012.41394,1012.298,25067520,78793.46159355459,44.40131878852844,784869.9,59.219640254974365,59.219640254974365
2330.661,2743.503,-412.84274,-6747.3516,-1795.505,-4951.8525,141.0,0.059591908,0.10491528,951.5443,951.3798,26542080,78801.7307670573,46.02563977241516,790533.1,61.09002900123596,61.09002900123596
2607.826,2917.0374,-309.2119,-6343.2246,-1558.4886,-4784.7383,143.0,0.06359939,0.04117645,972.1649,972.0602,28016640,78588.640757115,47.65435600280762,785083.1,62.97355771064758,62.97355771064758
2872.9106,3093.7827,-220.87375,-6335.724,-1510.533,-4825.1855,139.0,0.06791206,0.11345801,927.5533,927.3719,29491200,78831.61834560632,49.27805995941162,787832.06,64.85033321380615,64.85033321380615
